State,County,Year,Month,prcp,tmax,tmin
California,Mariposa,1980,10,11.383513450622559,,
California,Mendocino,1980,10,48.13760757446289,,
California,Merced,1980,10,1.2145559787750244,,
California,Modoc,1980,10,30.7880859375,,
California,Mono,1980,10,5.896888732910156,,
California,Monterey,1980,10,0.037720803171396255,,
California,Napa,1980,10,8.988295555114746,,
California,Nevada,1980,10,35.95575714111328,,
California,Orange,1980,10,0.0,,
California,Placer,1980,10,30.387210845947266,,
California,Plumas,1980,10,40.246482849121094,,
California,Riverside,1980,10,0.39609426259994507,,
California,Sacramento,1980,10,3.92488956451416,,
California,San Benito,1980,10,0.24304820597171783,,
California,San Bernardino,1980,10,2.0575287342071533,,
California,San Diego,1980,10,12.9653959274292,,
California,San Francisco,1980,10,4.069999694824219,,
California,San Joaquin,1980,10,1.2730412483215332,,
California,San Luis Obispo,1980,10,0.019656473770737648,,
California,San Mateo,1980,10,2.96411395072937,,
California,Santa Barbara,1980,10,0.0,,
California,Santa Clara,1980,10,1.0231773853302002,,
California,Santa Cruz,1980,10,1.3847867250442505,,
California,Shasta,1980,10,49.7514533996582,,
California,Sierra,1980,10,47.435585021972656,,
California,Siskiyou,1980,10,39.38390350341797,,
California,Solano,1980,10,3.8520190715789795,,
California,Sonoma,1980,10,25.730451583862305,,
California,Stanislaus,1980,10,1.1217981576919556,,
California,Sutter,1980,10,6.591855525970459,,
California,Tehama,1980,10,31.93781852722168,,
California,Trinity,1980,10,51.83941650390625,,
California,Tulare,1980,10,10.283487319946289,,
California,Tuolumne,1980,10,16.593656539916992,,
California,Ventura,1980,10,0.003621730487793684,,
California,Yolo,1980,10,4.227718353271484,,
California,Yuba,1980,10,24.45522117614746,,
California,Alameda,1980,11,5.9196953773498535,,
California,Alpine,1980,11,18.723262786865234,,
California,Amador,1980,11,19.84084129333496,,
California,Butte,1980,11,38.00904083251953,,
California,Calaveras,1980,11,14.843743324279785,,
California,Colusa,1980,11,7.839327812194824,,
California,Contra Costa,1980,11,5.0959649085998535,,
California,Del Norte,1980,11,213.70751953125,,
California,El Dorado,1980,11,40.72734451293945,,
California,Fresno,1980,11,7.536181926727295,,
California,Glenn,1980,11,12.408209800720215,,
California,Humboldt,1980,11,125.89371490478516,,
California,Imperial,1980,11,0.0,,
California,Inyo,1980,11,2.1293060779571533,,
California,Kern,1980,11,0.02408340759575367,,
California,Kings,1980,11,0.9826552271842957,,
California,Lake,1980,11,25.306642532348633,,
California,Lassen,1980,11,27.485506057739258,,
California,Los Angeles,1980,11,0.004448163788765669,,
California,Madera,1980,11,11.956345558166504,,
California,Marin,1980,11,27.98612403869629,,
California,Mariposa,1980,11,16.575307846069336,,
California,Mendocino,1980,11,70.07180786132812,,
California,Merced,1980,11,1.4194492101669312,,
California,Modoc,1980,11,25.41763687133789,,
California,Mono,1980,11,13.105191230773926,,
California,Monterey,1980,11,0.8023888468742371,,
California,Napa,1980,11,8.990571022033691,,
California,Nevada,1980,11,53.507450103759766,,
California,Orange,1980,11,0.0,,
California,Placer,1980,11,44.06544494628906,,
California,Plumas,1980,11,49.12261199951172,,
California,Riverside,1980,11,0.0,,
California,Sacramento,1980,11,6.512515068054199,,
California,San Benito,1980,11,1.482849359512329,,
California,San Bernardino,1980,11,0.0,,
California,San Diego,1980,11,0.0,,
California,San Francisco,1980,11,15.604696273803711,,
California,San Joaquin,1980,11,2.419811248779297,,
California,San Luis Obispo,1980,11,0.15153013169765472,,
California,San Mateo,1980,11,10.339422225952148,,
California,Santa Barbara,1980,11,0.0,,
California,Santa Clara,1980,11,4.91472053527832,,
California,Santa Cruz,1980,11,4.568942546844482,,
California,Shasta,1980,11,40.8009147644043,,
California,Sierra,1980,11,52.33503341674805,,
California,Siskiyou,1980,11,57.494529724121094,,
California,Solano,1980,11,3.1865389347076416,,
California,Sonoma,1980,11,24.09404754638672,,
California,Stanislaus,1980,11,1.0132519006729126,,
California,Sutter,1980,11,8.422541618347168,,
